timestamp,git_commit,notebook,n_samples,n_features,backbone,n_image_features,n_morph_features,n_tabular_features,morph_rows_matched,c1_best_model,c1_test_r2_avg,c1_test_mae_avg,c1_test_rmse_avg,c1_holdingtemp_r2,c1_holdingtemp_mae,c1_holdingtemp_rmse,c1_holdingtime_r2,c1_holdingtime_mae,c1_holdingtime_rmse,c1_cv_r2_mean,c1_cv_r2_std,c1c2_best_model,c1c2_test_r2_avg,c1c2_test_mae_avg,c1c2_test_rmse_avg,tags
2026-04-14 10:43:05,8273fd7,microstructure_demo,111,907,dinov2_vitb14,,,,,GBR,0.7349,30.5023,51.4369,0.4872,58.4712,72.6407,0.9826,2.5333,3.8506,0.5087,0.1620,ABR,0.9336,20.4680,42.4967,
2026-04-14 11:04:48,8273fd7,microstructure_demo,111,940,dinov2_vitb14,,,,,ABR,0.8019,23.4899,44.8913,0.6087,45.3375,63.4529,0.9951,1.6424,2.0459,0.5087,0.1620,GBR,0.8508,29.1738,53.9740,
2026-04-14 11:07:50,8273fd7,microstructure_demo,111,940,dinov2_vitb14,768,33,139,44,ABR,0.8019,23.4899,44.8913,0.6087,45.3375,63.4529,0.9951,1.6424,2.0459,0.5087,0.1620,GBR,0.8508,29.1738,53.9740,
2026-04-14 11:51:40,65da734,microstructure_demo,111,940,dinov2_vitb14,768,33,139,44,GBR,0.7290,30.3705,51.2532,0.4923,57.8528,72.2805,0.9656,2.8882,5.4134,0.5087,0.1620,GBR,0.8508,29.1738,53.9740,"bayes_best=ABR,r2=0.5087,delta=-0.3188; backbone=dinov2_vitb14; morph=True"
2026-04-14 11:53:49,65da734,microstructure_demo,111,940,dinov2_vitb14,768,33,139,44,GBR,0.7290,30.3705,51.2532,0.4923,57.8528,72.2805,0.9656,2.8882,5.4134,0.5087,0.1620,GBR,0.8508,29.1738,53.9740,"bayes_best=ABR,r2=0.5087,delta=-0.3188; backbone=dinov2_vitb14; morph=True"
2026-04-14 11:57:27,65da734,microstructure_demo,111,940,dinov2_vitb14,768,33,139,44,GBR,0.7290,30.3705,51.2532,0.4923,57.8528,72.2805,0.9656,2.8882,5.4134,0.5087,0.1620,GBR,0.8508,29.1738,53.9740,"bayes_best=ABR,r2=0.5087,delta=-0.3188; backbone=dinov2_vitb14; morph=True"
2026-04-14 12:14:55,65da734,microstructure_demo,111,940,dinov2_vitb14,768,33,139,44,GBR,0.7290,30.3705,51.2532,0.4923,57.8528,72.2805,0.9656,2.8882,5.4134,0.5087,0.1620,GBR,0.8508,29.1738,53.9740,"bayes_best=ABR,r2=0.5087,delta=-0.3188; backbone=dinov2_vitb14; morph=True"
2026-04-20 06:14:51,83cc8c8,microstructure_demo,111,962,dinov2_vitb14,768,33,161,,ABR,0.7429,21.8389,51.2763,0.4893,42.5596,72.4957,0.9966,1.1183,1.6996,0.4819,0.1529,,,,,"bayes_best=GBR,r2=0.4784,delta=-0.3657; backbone=dinov2_vitb14; morph=True"
2026-04-20 06:25:00,39c7676,microstructure_demo,111,962,dinov2_vitb14,768,33,161,,ABR,0.7429,21.8389,51.2763,0.5168,57.4866,70.5124,0.9950,1.2650,2.0675,0.8465,0.1508,,,,,"bayes_best=GBR,r2=0.8465,delta=+0.0024; backbone=dinov2_vitb14; morph=True"
